Setup	Run	FitnessSample	Sample	Fitness
robotslocally	9	0	0	2.689020067402613
robotslocally	9	0	1	2.7030281098817914
robotslocally	9	0	2	2.7021588894368973
robotslocally	9	0	3	2.728284980823077
robotslocally	9	0	4	2.7028944227315255
robotslocally	9	0	5	2.701764021713567
robotslocally	9	0	6	2.6996661154391934
robotslocally	9	0	7	2.728436392426655
robotslocally	9	0	8	2.4154447811092905
robotslocally	9	0	9	2.725974931980396
robotslocally	9	0	10	2.7037616492993917
robotslocally	9	0	11	2.650838333017222
robotslocally	9	0	12	2.72516293837937
robotslocally	9	0	13	2.6601547196830833
robotslocally	9	0	14	2.7154647247447548
robotslocally	9	0	15	2.7041330311867
robotslocally	9	0	16	2.733375213404175
robotslocally	9	0	17	2.5058910564425805
robotslocally	9	0	18	2.7276361576390222
robotslocally	9	0	19	2.649194048692998
robotslocally	9	0	20	2.724087377062216
robotslocally	9	0	21	2.7224310551137316
robotslocally	9	0	22	2.695210930363931
robotslocally	9	0	23	2.1550546401663224
robotslocally	9	0	24	2.7245526284949477
robotslocally	9	0	25	2.7200757521447527
robotslocally	9	0	26	2.743259651701252
robotslocally	9	0	27	2.7276782103241315
robotslocally	9	0	28	2.692275547299671
robotslocally	9	0	29	2.715070067481555
robotslocally	9	0	30	2.7361357461925033
robotslocally	9	0	31	2.7051882346336065
robotslocally	9	0	32	2.737822946320729
robotslocally	9	0	33	2.731099276988358
robotslocally	9	0	34	2.724206260963863
robotslocally	9	0	35	2.512044454759015
robotslocally	9	0	36	2.6990570574817196
robotslocally	9	0	37	2.738585385850255
robotslocally	9	0	38	2.7348899912609648
robotslocally	9	0	39	2.7102712863420573
robotslocally	9	0	40	2.713417432726371
robotslocally	9	0	41	2.6898296090726683
robotslocally	9	0	42	2.720319793105131
robotslocally	9	0	43	2.731518236642369
robotslocally	9	0	44	2.6371044129887258
robotslocally	9	0	45	2.608663174890716
robotslocally	9	0	46	2.723431091819886
robotslocally	9	0	47	2.1563130333436646
robotslocally	9	0	48	2.7257153641834364
robotslocally	9	0	49	2.731016000450225
robotslocally	9	0	50	2.6781260729295777
robotslocally	9	0	51	2.7225704778116917
robotslocally	9	0	52	2.6888441218421746
robotslocally	9	0	53	2.7123594747144453
robotslocally	9	0	54	2.737282139081633
robotslocally	9	0	55	2.709908103269605
robotslocally	9	0	56	2.7165545426325224
robotslocally	9	0	57	2.7124942389580275
robotslocally	9	0	58	2.7042444664703496
robotslocally	9	0	59	2.1986200628157855
robotslocally	9	0	60	2.7274349837429313
