# Evoluation started on 2019/08/03 15:01:32
# Generation	   Best 	   Average 	   Worst
	  0		   1.128	   0.555	   0.065
	  1		   1.135	   1.098	   0.215
	  2		   1.138	   1.017	   0.192
	  3		   1.134	   0.937	   0.229
	  4		   1.138	   1.072	   0.232
	  5		   1.139	   1.027	   0.221
	  6		   1.144	   0.966	   0.236
	  7		   1.147	   1.003	   0.276
	  8		   1.148	   0.960	   0.282
	  9		   1.167	   0.902	   0.253
	 10		   1.163	   1.045	   0.301
	 11		   1.172	   1.002	   0.363
	 12		   1.164	   0.938	   0.249
	 13		   1.187	   1.037	   0.367
	 14		   1.176	   0.989	   0.367
	 15		   1.182	   1.025	   0.344
	 16		   1.177	   1.032	   0.365
	 17		   1.174	   1.022	   0.319
	 18		   1.185	   1.036	   0.352
	 19		   1.183	   1.037	   0.443
	 20		   1.181	   1.015	   0.373
	 21		   1.173	   1.005	   0.356
	 22		   1.175	   0.978	   0.354
	 23		   1.180	   1.015	   0.280
	 24		   1.184	   1.004	   0.288
	 25		   1.187	   1.015	   0.355
	 26		   1.184	   0.958	   0.304
	 27		   1.190	   0.946	   0.283
	 28		   1.186	   0.942	   0.290
	 29		   1.206	   1.022	   0.319
	 30		   1.191	   1.038	   0.260
	 31		   1.186	   0.969	   0.274
	 32		   1.191	   0.969	   0.316
	 33		   1.197	   0.984	   0.264
	 34		   1.203	   0.968	   0.284
	 35		   1.192	   0.943	   0.218
	 36		   1.200	   0.969	   0.248
	 37		   1.194	   1.005	   0.276
	 38		   1.207	   0.994	   0.321
	 39		   1.207	   0.985	   0.259
	 40		   1.209	   1.031	   0.322
	 41		   1.221	   0.985	   0.273
	 42		   1.213	   1.006	   0.275
	 43		   1.230	   1.024	   0.289
	 44		   1.192	   0.984	   0.248
	 45		   1.216	   1.023	   0.320
	 46		   1.203	   0.998	   0.277
	 47		   1.216	   1.036	   0.335
	 48		   1.199	   1.061	   0.319
	 49		   1.219	   1.051	   0.344
	 50		   1.212	   1.080	   0.459
	 51		   1.216	   1.071	   0.342
	 52		   1.208	   1.023	   0.326
	 53		   1.206	   1.059	   0.351
	 54		   1.220	   1.047	   0.285
	 55		   1.207	   1.038	   0.288
	 56		   1.198	   0.984	   0.300
	 57		   1.212	   1.016	   0.302
	 58		   1.203	   0.995	   0.255
	 59		   1.204	   1.026	   0.326
	 60		   1.203	   1.067	   0.277
	 61		   1.204	   1.051	   0.367
	 62		   1.200	   0.999	   0.374
	 63		   1.218	   0.987	   0.224
	 64		   1.208	   0.948	   0.244
	 65		   1.214	   0.997	   0.228
	 66		   1.216	   0.918	   0.229
	 67		   1.213	   0.950	   0.325
	 68		   1.208	   0.941	   0.261
	 69		   1.208	   0.928	   0.276
	 70		   1.210	   0.961	   0.240
	 71		   1.215	   0.959	   0.227
	 72		   1.201	   0.928	   0.232
	 73		   1.214	   0.976	   0.277
	 74		   1.217	   0.933	   0.244
	 75		   1.219	   0.979	   0.303
	 76		   1.225	   1.009	   0.235
	 77		   1.224	   1.034	   0.245
	 78		   1.208	   0.982	   0.224
	 79		   1.217	   1.018	   0.298
	 80		   1.217	   1.043	   0.290
	 81		   1.230	   0.930	   0.242
	 82		   1.206	   0.995	   0.228
	 83		   1.219	   0.981	   0.245
	 84		   1.217	   1.011	   0.301
	 85		   1.218	   1.013	   0.225
	 86		   1.225	   1.012	   0.239
	 87		   1.215	   0.987	   0.241
	 88		   1.211	   0.952	   0.286
	 89		   1.227	   0.974	   0.231
	 90		   1.233	   0.980	   0.259
	 91		   1.221	   0.927	   0.238
	 92		   1.233	   0.969	   0.233
	 93		   1.216	   0.961	   0.265
	 94		   1.227	   0.973	   0.263
	 95		   1.234	   0.959	   0.290
	 96		   1.218	   0.986	   0.305
	 97		   1.223	   1.006	   0.243
	 98		   1.233	   0.979	   0.272
	 99		   1.225	   0.969	   0.229
	100		   1.220	   0.928	   0.253
	101		   1.215	   0.957	   0.266
