# Evoluation started on 2019/07/20 21:41:18
# Generation	   Best 	   Average 	   Worst
	  0		   1.589	   0.865	   0.118
	  1		   1.739	   1.324	   0.219
	  2		   1.750	   1.520	   0.675
	  3		   1.851	   1.606	   0.704
	  4		   1.882	   1.609	   0.618
	  5		   1.950	   1.669	   0.799
	  6		   1.934	   1.702	   0.767
	  7		   1.955	   1.687	   0.688
	  8		   1.988	   1.736	   0.728
	  9		   1.971	   1.728	   0.819
	 10		   1.956	   1.707	   0.807
	 11		   1.955	   1.737	   0.796
	 12		   1.969	   1.632	   0.785
	 13		   1.974	   1.656	   0.717
	 14		   1.990	   1.691	   0.826
	 15		   1.993	   1.689	   0.753
	 16		   1.997	   1.754	   0.810
	 17		   1.984	   1.685	   0.745
	 18		   1.986	   1.722	   0.792
	 19		   1.998	   1.734	   0.716
	 20		   2.004	   1.672	   0.751
	 21		   1.984	   1.670	   0.694
	 22		   2.014	   1.714	   0.707
	 23		   1.977	   1.679	   0.685
	 24		   1.969	   1.631	   0.702
	 25		   1.969	   1.627	   0.667
	 26		   1.999	   1.717	   0.673
	 27		   1.986	   1.810	   0.940
	 28		   1.981	   1.738	   0.795
	 29		   1.998	   1.782	   0.827
	 30		   1.987	   1.716	   0.811
	 31		   2.009	   1.738	   0.759
	 32		   1.998	   1.748	   0.723
	 33		   1.985	   1.759	   0.743
	 34		   1.992	   1.728	   0.851
	 35		   1.999	   1.722	   0.719
	 36		   1.996	   1.730	   0.745
	 37		   2.002	   1.731	   0.710
	 38		   2.011	   1.777	   0.721
	 39		   2.011	   1.774	   0.714
	 40		   2.006	   1.832	   0.802
	 41		   2.008	   1.838	   0.785
	 42		   2.001	   1.791	   0.828
	 43		   1.983	   1.744	   0.947
	 44		   2.005	   1.757	   0.880
	 45		   2.008	   1.753	   0.749
	 46		   2.005	   1.762	   0.736
	 47		   1.994	   1.737	   0.678
	 48		   1.997	   1.754	   0.789
	 49		   1.990	   1.717	   0.777
	 50		   1.997	   1.769	   0.602
	 51		   2.010	   1.789	   0.730
	 52		   2.011	   1.802	   0.744
	 53		   2.011	   1.778	   0.696
	 54		   1.996	   1.823	   0.735
	 55		   1.998	   1.806	   0.771
	 56		   2.011	   1.832	   0.809
	 57		   2.014	   1.760	   0.749
	 58		   1.984	   1.742	   0.813
	 59		   1.994	   1.697	   0.656
	 60		   1.989	   1.747	   0.763
	 61		   2.003	   1.749	   0.750
	 62		   1.999	   1.854	   0.844
	 63		   2.002	   1.744	   0.784
	 64		   1.986	   1.746	   0.738
	 65		   2.015	   1.773	   0.755
	 66		   2.019	   1.800	   0.832
	 67		   1.974	   1.801	   0.841
	 68		   1.998	   1.742	   0.723
	 69		   1.984	   1.739	   0.714
	 70		   1.993	   1.711	   0.719
	 71		   1.997	   1.736	   0.864
	 72		   1.999	   1.752	   0.734
	 73		   2.007	   1.771	   0.815
	 74		   2.018	   1.809	   0.582
	 75		   2.008	   1.771	   0.778
	 76		   2.015	   1.832	   0.777
	 77		   1.998	   1.846	   0.824
	 78		   2.013	   1.818	   0.859
	 79		   2.016	   1.817	   0.947
	 80		   2.016	   1.920	   1.517
	 81		   2.020	   1.851	   1.012
	 82		   2.011	   1.905	   1.025
	 83		   2.005	   1.861	   0.975
	 84		   2.010	   1.814	   0.850
	 85		   2.009	   1.797	   0.640
	 86		   2.012	   1.831	   0.761
	 87		   2.015	   1.741	   0.726
	 88		   2.016	   1.779	   0.775
	 89		   2.023	   1.787	   0.684
	 90		   2.020	   1.775	   0.692
	 91		   2.004	   1.793	   0.493
	 92		   2.018	   1.787	   0.766
	 93		   2.016	   1.769	   0.659
	 94		   2.017	   1.755	   0.481
	 95		   2.004	   1.783	   0.732
	 96		   2.005	   1.709	   0.458
	 97		   2.014	   1.662	   0.486
	 98		   2.011	   1.663	   0.442
	 99		   1.996	   1.653	   0.576
	100		   2.008	   1.625	   0.545
	101		   2.008	   1.652	   0.541
	102		   2.023	   1.669	   0.401
	103		   2.026	   1.645	   0.386
	104		   2.020	   1.681	   0.485
	105		   1.995	   1.660	   0.488
	106		   2.016	   1.734	   0.475
	107		   2.012	   1.654	   0.586
	108		   2.015	   1.668	   0.616
	109		   2.007	   1.629	   0.483
	110		   2.022	   1.646	   0.478
	111		   2.011	   1.629	   0.649
	112		   2.018	   1.621	   0.591
	113		   2.030	   1.685	   0.578
	114		   2.023	   1.700	   0.772
	115		   2.030	   1.796	   0.800
	116		   2.020	   1.747	   0.581
	117		   2.019	   1.805	   0.433
	118		   2.013	   1.753	   0.774
	119		   2.015	   1.787	   0.777
	120		   2.032	   1.800	   0.866
	121		   2.024	   1.816	   0.602
	122		   2.005	   1.778	   0.530
	123		   2.028	   1.713	   0.570
	124		   2.031	   1.768	   0.666
	125		   2.018	   1.706	   0.529
	126		   2.031	   1.760	   0.459
	127		   2.010	   1.658	   0.258
	128		   2.030	   1.738	   0.699
	129		   2.013	   1.669	   0.499
	130		   2.022	   1.726	   0.507
	131		   2.019	   1.696	   0.529
	132		   2.029	   1.721	   0.418
	133		   2.019	   1.609	   0.464
	134		   2.032	   1.750	   0.453
	135		   2.013	   1.652	   0.613
	136		   2.020	   1.616	   0.250
	137		   2.018	   1.711	   0.421
	138		   2.021	   1.707	   0.581
	139		   2.029	   1.713	   0.414
	140		   2.025	   1.734	   0.337
	141		   2.024	   1.646	   0.491
	142		   2.018	   1.601	   0.276
	143		   2.012	   1.742	   0.379
	144		   2.022	   1.642	   0.495
	145		   2.026	   1.722	   0.458
	146		   2.017	   1.638	   0.355
	147		   2.025	   1.649	   0.218
	148		   2.026	   1.712	   0.461
	149		   2.014	   1.709	   0.364
	150		   2.010	   1.773	   0.714
	151		   2.016	   1.724	   0.034
	152		   2.007	   1.612	   0.149
	153		   2.021	   1.597	   0.181
	154		   2.021	   1.711	   0.074
	155		   2.024	   1.604	   0.176
	156		   2.022	   1.710	   0.410
	157		   2.025	   1.695	   0.634
	158		   2.019	   1.737	   0.145
	159		   2.029	   1.780	   0.679
	160		   2.022	   1.765	   0.719
	161		   2.018	   1.763	   0.804
	162		   2.028	   1.805	   0.635
	163		   2.019	   1.755	   0.598
	164		   2.026	   1.773	   0.854
	165		   2.018	   1.737	   0.831
	166		   2.029	   1.747	   0.754
	167		   2.028	   1.771	   0.821
	168		   2.018	   1.674	   0.787
	169		   2.029	   1.720	   0.574
	170		   2.021	   1.694	   0.436
	171		   2.019	   1.623	   0.385
	172		   2.027	   1.668	   0.517
	173		   2.028	   1.688	   0.310
	174		   2.023	   1.595	   0.141
	175		   2.023	   1.767	   0.916
	176		   2.031	   1.668	   0.397
	177		   2.015	   1.769	   0.835
	178		   2.018	   1.732	   0.941
	179		   2.024	   1.620	   0.631
	180		   2.023	   1.639	   0.685
	181		   2.031	   1.762	   0.845
	182		   2.022	   1.657	   0.702
	183		   2.027	   1.595	   0.553
	184		   2.020	   1.694	   0.709
	185		   2.031	   1.647	   0.840
	186		   2.029	   1.719	   0.830
	187		   2.028	   1.737	   0.826
	188		   2.029	   1.682	   0.817
	189		   2.032	   1.720	   0.708
	190		   2.020	   1.596	   0.747
	191		   2.016	   1.682	   0.711
	192		   2.026	   1.699	   0.733
	193		   2.023	   1.744	   0.688
	194		   2.032	   1.644	   0.865
	195		   2.024	   1.696	   0.800
	196		   2.028	   1.699	   0.848
	197		   2.035	   1.749	   0.775
	198		   2.021	   1.721	   0.929
	199		   2.039	   1.790	   0.702
	200		   2.011	   1.732	   0.829
	201		   2.034	   1.760	   0.893
	202		   2.023	   1.737	   0.782
	203		   2.014	   1.684	   0.858
	204		   2.030	   1.707	   0.857
	205		   2.027	   1.668	   0.520
	206		   2.024	   1.676	   0.617
	207		   2.030	   1.642	   0.905
	208		   2.028	   1.617	   0.840
	209		   2.034	   1.707	   0.883
	210		   2.030	   1.631	   0.313
	211		   2.041	   1.661	   0.772
	212		   2.011	   1.547	   0.601
	213		   2.034	   1.620	   0.075
	214		   2.028	   1.640	   0.464
	215		   2.032	   1.681	   0.699
	216		   2.035	   1.725	   0.900
	217		   2.026	   1.612	   0.508
	218		   2.032	   1.671	   0.492
	219		   2.031	   1.649	   0.006
	220		   2.034	   1.674	   0.727
